"dist","ID.1","ID.2","long.1","long.2","lat.1","lat.2","habitat.1","habitat.2","taxa.1","taxa.2","organisms.1","organisms.2","no_species.1","no_species.2","start_year.1","start_year.2","end_year.1","end_year.2","overlap.years","taxa.pairs"
0,120,122,-169.454,-169.454,10.778,10.778,"oceanic waters","pacific corals","Marine plants","Marine invertebrates","tropical algae","corals",260,209,2002,2007,2008,2010,1,"Marine plants-Marine invertebrates"
0,408,409,-71.558923,-71.558923,-31.415949,-31.415949,"Tidal flats","Tidal flats","Marine invertebrates","Fish","turf algae","fish",18,20,2012,2012,2013,2013,1,"Marine invertebrates-Fish"
0.965937794333679,458,459,13.31245,13.32112,49.07963,49.07306,"European forest","European forest","Terrestrial invertebrates","Birds","beetles","Birds",150,44,2008,2010,2011,2014,1,"Terrestrial invertebrates-Birds"
0.945410946889951,459,460,13.32112,13.31226,49.07306,49.07927,"European forest","European forest","Birds","Fungi","Birds","fungi",44,85,2010,2007,2014,2011,1,"Birds-Fungi"
0.896160200893103,459,461,13.32112,13.31312,49.07306,49.07918,"European forest","European forest","Birds","Fungi","Birds","lichens",44,20,2010,2007,2014,2011,1,"Birds-Fungi"
0.685077795998807,459,462,13.32112,13.31383,49.07306,49.07695,"European forest","European forest","Birds","Fungi","Birds","lichens",44,4,2010,2007,2014,2011,1,"Birds-Fungi"
0.708110334446145,459,463,13.32112,13.31423,49.07306,49.07755,"European forest","European forest","Birds","Terrestrial plants","Birds","moss",44,33,2010,2007,2014,2011,1,"Birds-Terrestrial plants"
0.396663803671986,459,464,13.32112,13.31771,49.07306,49.07584,"European forest","European forest","Birds","Terrestrial plants","Birds","moss",44,33,2010,2007,2014,2011,1,"Birds-Terrestrial plants"
0.56014256281166,541,542,13.31019,13.30347,49.10037,49.09792,"European forest","European forest","Terrestrial invertebrates","Birds","beetles","Birds",145,42,2008,2010,2011,2014,1,"Terrestrial invertebrates-Birds"
0.569277472522422,542,543,13.30347,13.31043,49.09792,49.10025,"European forest","European forest","Birds","Fungi","Birds","fungi",42,74,2010,2007,2014,2011,1,"Birds-Fungi"
0.539835359775493,542,544,13.30347,13.30986,49.09792,49.10038,"European forest","European forest","Birds","Fungi","Birds","lichens",42,25,2010,2007,2014,2011,1,"Birds-Fungi"
0.212885209667357,542,545,13.30347,13.30543,49.09792,49.09934,"European forest","European forest","Birds","Fungi","Birds","lichens",42,7,2010,2007,2014,2011,1,"Birds-Fungi"
0.610539892232198,542,546,13.30347,13.31091,49.09792,49.10045,"European forest","European forest","Birds","Terrestrial plants","Birds","moss",42,23,2010,2007,2014,2011,1,"Birds-Terrestrial plants"
